num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,,
5,2.0796156,,,10,1.5882835,target,,5,1.607346,target,,,10,1.5882835,target,,,
10,1.5882835,target,,5,1.607346,target,,5,1.0613948,target,,,10,1.0854932,target,,,
5,1.607346,target,,10,1.0854932,target,,5,1.3991873,target,,,10,1.8185055,target,,,
10,1.0854932,target,,5,1.0613948,target,,5,1.3422517,target,,,10,1.903774,target,,,
5,1.0613948,target,,10,1.8185055,target,,5,1.6295494,target,,,10,1.6819705,target,,,
10,1.8185055,target,,5,1.3991873,target,,5,1.4494409,target,,,10,3.0750494,target,,total mean RT,1.640179387
5,1.3991873,target,,10,1.903774,target,,5,1.6498047,target,,,10,1.5119967,target,,,
5,1.600089,,,10,1.6819705,target,,5,1.3769144,target,,,10,1.3627205,target,,,
10,1.903774,target,,5,1.3422517,target,,5,1.4068214,target,,,10,2.6260504,target,,mean RT-5,1.52135346
10,1.6819705,target,,10,3.0750494,target,,5,1.6247592,target,,,10,1.9028704,target,,mean RT-10,1.798520963
5,1.3422517,target,,5,1.6295494,target,,5,1.2537548,target,,,10,1.2331063,target,,,
10,3.0750494,target,,10,1.5119967,target,,5,1.7633031,target,,,10,1.8598865,target,,,
5,1.6295494,target,,5,1.4494409,target,,5,1.355611,target,,,10,1.2608345,target,,,
10,1.5119967,target,,5,1.6498047,target,,5,1.6668462,target,,,10,1.3145775,target,,,
5,1.4494409,target,,10,1.3627205,target,,5,1.5032464,target,,,10,1.6582486,target,,,
5,1.6498047,target,,10,2.6260504,target,,5,1.2498216,target,,,10,1.3824666,target,,,
10,1.3627205,target,,10,1.9028704,target,,5,2.2295365,target,,,10,2.9353618,target,,,
10,2.6260504,target,,5,1.3769144,target,,5,2.6883519,target,,,10,1.9201887,target,,,
10,1.9028704,target,,10,1.2331063,target,,5,1.6086594,target,,,10,1.4462027,target,,,
5,1.3769144,target,,5,1.4068214,target,,5,2.1444887,target,,,10,1.5277259,target,,,
10,1.6784304,,,10,1.8598865,target,,5,1.6819983,target,,,10,2.3272599,target,,,
10,1.2331063,target,,5,1.6247592,target,,5,1.2012791,target,,,10,1.1427795,target,,,
5,1.4068214,target,,5,1.2537548,target,,5,1.4339911,target,,,10,1.2212514,target,,,
10,1.8598865,target,,10,1.2608345,target,,5,2.0576741,target,,,10,2.4049558,target,,,
5,1.6247592,target,,10,1.3145775,target,,5,1.522962,target,,,10,2.7425679,target,,,
5,1.2537548,target,,5,1.7633031,target,,5,2.2160745,target,,,10,1.5318644,target,,,
10,1.2608345,target,,5,1.355611,target,,5,1.6621362,target,,,10,1.7760004,target,,,
10,1.3145775,target,,5,1.6668462,target,,5,1.3763602,target,,,10,2.2608318,target,,,
5,1.7633031,target,,10,1.6582486,target,,5,1.830303,target,,,10,1.9738994,target,,,
5,1.355611,target,,5,1.5032464,target,,5,1.6428007,target,,,10,2.1093301,target,,,
5,1.6668462,target,,5,1.2498216,target,,5,1.2788042,target,,,10,1.1407497,target,,,
10,1.6582486,target,,10,1.3824666,target,,5,1.5203264,target,,,10,1.2662249,target,,,
5,1.5032464,target,,10,2.9353618,target,,5,1.6849512,target,,,10,2.16548,target,,,
5,1.2498216,target,,10,1.9201887,target,,5,1.677226,target,,,10,1.8356805,target,,,
10,1.3824666,target,,10,1.4462027,target,,5,1.2152943,target,,,10,1.8667853,target,,,
10,2.9353618,target,,5,2.2295365,target,,5,1.535332,target,,,10,2.1141757,target,,,
10,1.9201887,target,,10,1.5277259,target,,5,1.6495427,target,,,10,2.0164517,target,,,
10,1.4462027,target,,10,2.3272599,target,,5,1.5993882,target,,,10,1.2347386,target,,,
5,2.2295365,target,,5,2.6883519,target,,5,2.765521,target,,,10,1.4262606,target,,,
10,1.5277259,target,,5,1.6086594,target,,5,1.603573,target,,,10,1.480486,target,,,
10,2.3272599,target,,10,1.1427795,target,,5,2.2316388,target,,,10,2.7141013,target,,,
5,2.6883519,target,,5,2.1444887,target,,5,1.2421101,target,,,10,2.0774908,target,,,
5,1.6086594,target,,5,1.6819983,target,,5,1.7437255,target,,,10,1.6441185,target,,,
10,1.1427795,target,,10,1.2212514,target,,5,1.5017644,target,,,10,1.1734198,target,,,
5,2.1444887,target,,5,1.2012791,target,,5,1.495141,target,,,10,1.831387,target,,,
5,1.6819983,target,,5,1.4339911,target,,5,1.1052088,target,,,10,1.296323,target,,,
