num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,
10,1.9127414,target,,10,1.9127414,target,,5,1.2538023,target,,10,1.9127414,target,,
5,1.2538023,target,,5,1.2538023,target,,5,1.202985,target,,10,2.2099014,target,,
10,2.2099014,target,,10,2.2099014,target,,5,1.1370252,target,,10,1.2682532,target,,
5,1.202985,target,,5,1.202985,target,,5,1.0693467,target,,10,2.1910189,target,,
10,1.2682532,target,,10,1.2682532,target,,5,1.16851,target,,10,1.2867488,target,total mean RT,1.412490857
5,1.1370252,target,,5,1.1370252,target,,5,1.472763,target,,10,1.0517213,target,,
5,1.0693467,target,,5,1.0693467,target,,5,0.8725084,target,,10,1.4926687,target,,
10,2.1910189,target,,10,2.1910189,target,,5,1.1665999,target,,10,1.4446825,target,mean RT-5,1.320613169
10,1.2867488,target,,10,1.2867488,target,,5,1.2987516,target,,10,1.37836,target,mean RT-10,1.520594116
10,1.0517213,target,,10,1.0517213,target,,5,1.0876093,target,,10,2.1434366,target,,
5,1.16851,target,,5,1.16851,target,,5,2.789886,target,,10,1.2810627,target,,
5,1.472763,target,,5,1.472763,target,,5,1.4230102,target,,10,1.7110121,target,,
10,1.4926687,target,,10,1.4926687,target,,5,1.591355,target,,10,1.1458072,target,,
5,0.8725084,target,,5,0.8725084,target,,5,1.8339434,target,,10,1.4628974,target,,
5,1.1665999,target,,5,1.1665999,target,,5,0.9058585,target,,10,1.1956007,target,,
10,1.4446825,target,,10,1.4446825,target,,5,1.2241232,target,,10,1.2777683,target,,
5,1.2987516,target,,5,1.2987516,target,,5,1.722098,target,,10,1.612196,target,,
10,1.37836,target,,10,1.37836,target,,5,1.6895459,target,,10,2.4130439,target,,
5,1.0876093,target,,5,1.0876093,target,,5,1.3187074,target,,10,1.1286598,target,,
5,2.789886,target,,5,2.789886,target,,5,0.9720585,target,,10,1.3135187,target,,
10,2.1434366,target,,10,2.1434366,target,,5,1.2410175,target,,10,1.7142967,target,,
10,1.2810627,target,,10,1.2810627,target,,5,1.1554089,target,,10,1.2612394,target,,
10,1.7110121,target,,10,1.7110121,target,,5,1.1737023,target,,10,1.5101838,target,,
10,1.1458072,target,,10,1.1458072,target,,5,1.0876825,target,,10,1.4272732,target,,
10,1.4628974,target,,10,1.4628974,target,,5,1.1395687,target,,10,1.6592508,target,,
10,1.1956007,target,,10,1.1956007,target,,5,1.4392044,target,,10,0.9288013,target,,
5,1.5733224,,,5,1.4230102,target,,5,1.33773,target,,10,1.0610588,target,,
5,1.4230102,target,,10,1.2777683,target,,5,1.0377686,target,,10,1.2936133,target,,
10,1.2777683,target,,5,1.591355,target,,5,1.1731765,target,,10,1.2473074,target,,
5,1.591355,target,,5,1.8339434,target,,5,1.4221564,target,,10,1.1628923,target,,
