stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0308193,,0.0134455,0.0308193,0.5478178,0.5478178,0.5643313,0.8489974,1.4550817,left,-10,1,1,0.7732798,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
1,2,8,1.4641867,,1.4551659,1.4641867,1.966794,1.966794,1.966794,2.2674466,2.3699692,right,8,1,1,0.3968018,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
2,2,6,2.3846283,,2.3702049,2.3846283,2.8843121,2.8843121,2.8843121,3.1849642,3.4883824,right,6,1,1,0.5989353,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
3,2,4,3.5019473,,3.4885243,3.5019473,4.0024778,4.0024778,4.0024778,4.3022648,4.6718652,left,-4,1,1,0.6611827,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
4,2,2,4.6866629,,4.6720047,4.6866629,5.1875953,5.1875953,5.1875953,5.4870308,5.6569583,right,2,1,1,0.4598946,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
5,2,1,5.6717038,,5.6570973,5.6717038,6.1714114,6.1714114,6.1714114,6.4709022,6.6244207,right,1,1,1,0.441193,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
6,2,1,6.6392225,,6.6246119,6.6392225,7.1388551,7.1388551,7.1388551,7.4387641,7.6415866,right,1,1,1,0.4916535,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
7,2,1,7.6564877,,7.6417279,7.6564877,8.1566978,8.1566978,8.1566978,8.4573895,8.6100122,left,-1,1,1,0.4381218,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
8,1,1,8.6243284,,8.610252,8.6243284,9.1235688,9.1235688,9.1235688,9.4242091,9.5759829,left,-1,0,0,0.4365284,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
9,1,2,9.5910977,,9.5761096,9.5910977,10.0917804,10.0917804,10.0917804,10.3920574,10.8449766,left,-2,1,1,0.7402008,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
10,1,2,10.8595443,,10.8451249,10.8595443,11.3601896,11.3601896,11.3601896,11.6599272,12.3120736,right,2,1,1,0.9410775,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
11,1,2,12.3285033,,12.3122085,12.3285033,12.828562,12.828562,12.828562,13.1283664,13.5485866,right,2,1,1,0.7157046,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
12,1,1,13.5620281,,13.5487243,13.5620281,14.0625399,14.0625399,14.0625399,14.3627711,14.9816232,left,-1,1,1,0.9040218,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
13,1,1,14.9972105,,14.9817508,14.9972105,15.4807107,15.4807107,15.4975173,15.7808591,16.1004144,right,1,1,1,0.6140919,200571,1,2024-09-12_22h01.01.622,adaptive_staircase,2024.1.5,None,2024-09-12 22h01.09.921657 +0530
