pos,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,Sequence _trials,,,,,,Random_trials,,,,,,,,,,
-50,x,x,1,0.6415172,,,pos,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,,pos,corr_resp,key_resp.keys,key_resp.corr,key_resp.rt,,seq_rt,ran_rt,,mean_rt_sequence,0.270503297
150,v,v,1,0.2752956,,,-50,x,x,1,0.6415172,,-50,x,x,1,0.2504455,,0.6415172,0.2504455,,mean_rt_random,0.493518517
50,c,c,1,0.2522094,,,150,v,v,1,0.2752956,,50,c,c,1,0.5810375,,0.2752956,0.5810375,,,
-150,z,z,1,0.0783607,,,50,c,c,1,0.2522094,,50,c,c,1,0.4158753,,0.2522094,0.4158753,,mean_diff_rt,0.22301522
-50,x,x,1,0.0117316,,,-150,z,z,1,0.0783607,,-50,x,x,1,0.5171438,,0.0783607,0.5171438,,,
150,v,v,1,0.0852342,,,-50,x,x,1,0.0117316,,150,v,v,1,0.4138018,,0.0117316,0.4138018,,,
50,c,c,1,0.0408344,,,150,v,v,1,0.0852342,,-150,z,z,1,0.417817,,0.0852342,0.417817,,,
-150,z,z,1,0.2686742,,,50,c,c,1,0.0408344,,-50,x,x,1,0.5666724,,0.0408344,0.5666724,,,
-50,x,x,1,0.3813207,,,-150,z,z,1,0.2686742,,150,v,v,1,0.4064133,,0.2686742,0.4064133,,,
150,v,v,1,0.247836,,,-50,x,x,1,0.3813207,,50,c,c,1,0.5976777,,0.3813207,0.5976777,,,
50,c,c,1,0.0075591,,,150,v,v,1,0.247836,,-150,z,z,1,0.4022764,,0.247836,0.4022764,,,
-150,z,z,1,0.237367,,,50,c,c,1,0.0075591,,-150,z,z,1,0.3666076,,0.0075591,0.3666076,,,
-50,x,x,1,0.091615,,,-150,z,z,1,0.237367,,150,v,v,1,0.4788548,,0.237367,0.4788548,,,
150,v,v,1,0.0344742,,,-50,x,x,1,0.091615,,150,v,v,1,0.3950909,,0.091615,0.3950909,,,
50,c,c,1,0.0553582,,,150,v,v,1,0.0344742,,50,c,c,1,0.4858464,,0.0344742,0.4858464,,,
-150,z,z,1,0.3762394,,,50,c,c,1,0.0553582,,50,c,c,1,0.3595523,,0.0553582,0.3595523,,,
-50,x,x,1,0.2535951,,,-150,z,z,1,0.3762394,,150,v,v,1,0.3768687,,0.3762394,0.3768687,,,
150,v,v,1,0.2667351,,,-50,x,x,1,0.2535951,,-50,x,x,1,0.9250263,,0.2535951,0.9250263,,,
