key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr
down,1,3,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
up,0,1,,,1,,
up,1,0,,1,,,
up,0,-5,,,,1,
down,1,-5,,,,,1
up,0,1,,,,1,
up,1,0,,1,,,
up,0,-5,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,-4,,,,,1
down,1,1,,,,,1
down,1,4,,,,,1
up,1,0,,1,,,
up,0,2,,,,1,
down,0,0,,,1,,
up,1,0,,1,,,
down,1,-4,,,,,1
up,0,1,,,,1,
down,1,-3,,,,,1
up,1,0,,1,,,
down,1,-3,,,,,1
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
down,1,-4,,,,,1
down,1,1,,,,,1
up,1,0,,1,,,
down,1,-5,,,,,1
up,1,0,,1,,,
up,0,4,,,,1,
down,1,-4,,,,,1
up,1,0,,1,,,
down,1,-5,,,,,1
up,0,-2,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,2,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
down,1,3,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-3,,,,1,
up,1,0,,1,,,
down,1,1,,,,,1
down,0,0,,,1,,
up,1,0,,1,,,
down,1,3,,,,,1
down,1,1,,,,,1
up,1,0,,1,,,
down,1,4,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
down,1,3,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,-5,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-3,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,-3,,,,,1
down,1,-3,,,,,1
down,1,2,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-2,,,,1,
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,1,,,,,1
up,0,1,,,,1,
up,1,0,,1,,,
down,1,-5,,,,,1
up,1,0,,1,,,
down,1,4,,,,,1
up,0,-2,,,,1,
up,0,1,,,,1,
down,1,4,,,,,1
up,1,0,,1,,,
up,0,-4,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
,,,total,53,5,14,28
,,,,,,,
,,,prop hit,0.913793103,,z(prop hit),1.364488745
,,,prop fa,0.333333333,,z(prop fa),-0.4307273
,,,,,,,
,,,d-prime,1.795216046,,,
,,,c,-0.466880723,,,
