test_stimulus,presence,corr_key_resp,key_resp.keys,key_resp.corr,key_resp.rt,,,
yellow,no,n,n,1,1.6133396,,Accuracy,1
green,yes,y,y,1,0.5861144,,mean_rt,0.85755006
purple,no,n,n,1,0.8803342,,SD,0.447094595
cyan,yes,y,y,1,0.717042,,,
red,yes,y,y,1,0.4909201,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character1.jpg,yes,y,y,1,1.0508194,,Accuracy,0.6
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character5.png,no,n,y,0,4.1250193,,mean_rt,1.2680696
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character3.jpg,yes,y,n,0,3.0859718,,SD,0.647315081
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character4.png,no,n,n,1,1.9960642,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\jap_character2.png,yes,y,y,1,0.7573252,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob3.jpg,yes,y,n,0,6.6888462,,Accuracy,0.2
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob1.jpg,yes,y,n,0,4.0365308,,mean_rt,1.8958454
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob2.jpg,yes,y,n,0,1.1844343,,SD,NA
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob4.jpg,no,n,y,0,5.5435841,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\blob5.jpg,no,n,n,1,1.8958454,,,
,,,,,,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube2.jpg,yes,y,n,0,1.7996919,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube5.jpg,no,n,y,0,1.4884409,,Accuracy,0
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube1.jpg,yes,y,n,0,6.7683113,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube3.jpg,yes,y,n,0,1.6191485,,,
C:\Users\DELL\Desktop\Lab_in_Psych\solo_project_final2.0\cube4.jpg,no,n,y,0,2.6282088,,,
