study_word,test,condition,textbox.text,corr_resp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,b_t_l_,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,d_e_s,prime,dress,1,[-0.02650602409638554],[-0.3144578313253012],[1],[0],[0],[4.149959600006696],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,t_g_r,prime,tiger,1,[-0.0024096385542168677],[-0.3192771084337349],[1],[0],[0],[3.624914899992291],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,m_b_l_,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,s_e_f,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,v_s_,prime,vase,1,[0.06144578313253012],[-0.29156626506024097],[1],[0],[0],[5.405446699995082],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,k_y_,prime,keys,1,[0.07951807228915662],[-0.29036144578313255],[1],[0],[0],[3.031699800048955],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_k_,prime,bike,1,[0.08433734939759036],[-0.2963855421686747],[1],[0],[0],[4.0977172999992035],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,l_f_,non_prime,lift,1,[0.08433734939759036],[-0.3060240963855422],[1],[0],[0],[6.431626399978995],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,c_s_i_n,prime,cushion,1,[0.0855421686746988],[-0.30120481927710846],[1],[0],[0],[3.6968527999706566],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,h_p_y,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,r_o_,prime,room,1,[0.07951807228915662],[-0.30843373493975906],[1],[0],[0],[3.4429626999772154],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,c_o_k,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,p_an_,prime,piano,1,[0.06987951807228916],[-0.29759036144578316],[1],[0],[0],[5.535581900039688],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,r_n_a_,prime,runway,1,[0.02891566265060241],[-0.3168674698795181],[1],[0],[0],[7.6019524000003],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,p_n_i_,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,m_n_y,non_prime,money,1,[0.02650602409638554],[-0.2855421686746988],[1],[0],[0],[3.6998352999798954],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,_r_e,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_o_,prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_r_,non_prime,bird,1,[0.06867469879518072],[-0.28433734939759037],[1],[0],[0],[3.7539733999874443],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
