study_word,test,condition,textbox.text,corr_resp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,v_s_,prime,vase,1,[-0.11566265060240964],[-0.3180722891566265],[1],[0],[0],[5.319679100066423],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,b_o_,prime,book,1,[-0.1216867469879518],[-0.3],[1],[0],[0],[3.0310775998514146],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,m_b_l_,non_prime,,0,[],[],[],[],[],[],[],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,k_y_,prime,keys,1,[-0.10361445783132531],[-0.28433734939759037],[1],[0],[0],[3.848778000101447],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,d_e_s,prime,dress,1,[-0.13132530120481928],[-0.27951807228915665],[1],[0],[0],[3.236746700014919],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,s_e_f,non_prime,,0,[],[],[],[],[],[],[],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,c_s_i_n,prime,cushion,1,[-0.14578313253012049],[-0.3],[1],[0],[0],[8.877219000132754],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,h_p_y,non_prime,,0,[],[],[],[],[],[],[],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,c_o_k,non_prime,,0,[],[],[],[],[],[],[],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,b_t_l_,non_prime,bottle,1,[-0.04096385542168675],[-0.30843373493975906],[1],[0],[0],[7.282065799925476],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,l_f_,non_prime,,0,[],[],[],[],[],[],[],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,b_k_,prime,bike,1,[-0.04096385542168675],[-0.30843373493975906],[1],[0],[0],[3.0831585000269115],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,_r_e,non_prime,tree,1,[-0.12048192771084337],[-0.28313253012048195],[1],[0],[0],[2.9961362001486123],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,m_n_y,non_prime,,0,[],[],[],[],[],[],[],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,p_n_i_,non_prime,pencil,1,[-0.11325301204819277],[-0.30120481927710846],[1],[0],[0],[5.656142699997872],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,p_an_,prime,piano,1,[-0.15060240963855423],[-0.30481927710843376],[1],[0],[0],[4.097318100044504],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,r_n_a_,prime,runway,1,[-0.12409638554216867],[-0.3204819277108434],[1],[0],[0],[3.8085196998436004],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,t_g_r,prime,tiger,1,[-0.13734939759036144],[-0.27710843373493976],[1],[0],[0],[3.1675424000713974],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,b_r_,non_prime,,0,[],[],[],[],[],[],[],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,r_o_,prime,room,1,[-0.14096385542168674],[-0.3],[1],[0],[0],[3.4178735001478344],['text_3'],192752,1,2024-11-07_14h44.19.601,word_prime_exp,2024.1.5,None,2024-11-07 14h44.26.304839 +0530
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Proportion of hit for study words,10,0.5,,,,,,,,,,,,,
,,,Proportion of hit for non-prime words,3,0.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Priming Score,,0.35,,,,,,,,,,,,,
